1.445312500000000000e-01
9.375000000000000000e-01
9.765625000000000000e-01
9.648437500000000000e-01
9.570312500000000000e-01
9.843750000000000000e-01
9.882812500000000000e-01
1.000000000000000000e+00
9.882812500000000000e-01
9.921875000000000000e-01
9.921875000000000000e-01
1.000000000000000000e+00
1.000000000000000000e+00
9.882812500000000000e-01
1.000000000000000000e+00
9.960937500000000000e-01
9.921875000000000000e-01
9.921875000000000000e-01
9.921875000000000000e-01
9.921875000000000000e-01
9.921875000000000000e-01
9.921875000000000000e-01
9.921875000000000000e-01
9.921875000000000000e-01
1.000000000000000000e+00
9.960937500000000000e-01
9.960937500000000000e-01
1.000000000000000000e+00
9.960937500000000000e-01
1.000000000000000000e+00
1.000000000000000000e+00
1.000000000000000000e+00
9.921875000000000000e-01
1.000000000000000000e+00
1.000000000000000000e+00
1.000000000000000000e+00
1.000000000000000000e+00
1.000000000000000000e+00
1.000000000000000000e+00
1.000000000000000000e+00
1.000000000000000000e+00
1.000000000000000000e+00
1.000000000000000000e+00
1.000000000000000000e+00
1.000000000000000000e+00
1.000000000000000000e+00
1.000000000000000000e+00
1.000000000000000000e+00
1.000000000000000000e+00
1.000000000000000000e+00
1.000000000000000000e+00
